#curie_map:
#  icd10: https://icd.who.int/browse10/2019/en#/
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: leonmap_icd10_mesh_full_novel
#mapping_tool: leonmap
subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	mapping_tool	comment
icd10:Q52.3	Imperforate hymen	skos:exactMatch	mesh:C562397	Hymen, Imperforate	1.0	semapv:LexicalMatching	leonmap	cosine=0.968149
icd10:G80.1	Spastic diplegic cerebral palsy	skos:exactMatch	mesh:C537945	Cerebral palsy, spastic, diplegic	1.0	semapv:LexicalMatching	leonmap	cosine=0.954180
icd10:C18.6	Descending colon	skos:exactMatch	mesh:D044683	Colon, Descending	1.0	semapv:LexicalMatching	leonmap	cosine=0.911914
icd10:D12.5	Sigmoid colon	skos:exactMatch	mesh:D012809	Colon, Sigmoid	1.0	semapv:LexicalMatching	leonmap	cosine=0.899672
icd10:T45.5	Anticoagulants	skos:exactMatch	mesh:D000925	Anticoagulants	1.0	semapv:LexicalMatching	leonmap	cosine=0.898654
icd10:T36.4	Tetracyclines	skos:exactMatch	mesh:D013754	Tetracyclines	1.0	semapv:LexicalMatching	leonmap	cosine=0.895895
icd10:T42.4	Benzodiazepines	skos:exactMatch	mesh:D001569	Benzodiazepines	1.0	semapv:LexicalMatching	leonmap	cosine=0.886375
icd10:D57.3	Sickle-cell trait	skos:exactMatch	mesh:D012805	Sickle Cell Trait	1.0	semapv:LexicalMatching	leonmap	cosine=0.885661
icd10:M85.0	Fibrous dysplasia (monostotic)	skos:exactMatch	mesh:D005358	Fibrous Dysplasia, Monostotic	1.0	semapv:LexicalMatching	leonmap	cosine=0.873227
icd10:K42	Umbilical hernia	skos:exactMatch	mesh:D006554	Hernia, Umbilical	1.0	semapv:LexicalMatching	leonmap	cosine=0.861870
icd10:E73.0	Congenital lactase deficiency	skos:exactMatch	mesh:C562600	Lactase Deficiency, Congenital	1.0	semapv:LexicalMatching	leonmap	cosine=0.857462
icd10:K67.3	Tuberculous peritonitis	skos:exactMatch	mesh:D014395	Peritonitis, Tuberculous	1.0	semapv:LexicalMatching	leonmap	cosine=0.857145
icd10:D12.3	Transverse colon	skos:exactMatch	mesh:D044684	Colon, Transverse	1.0	semapv:LexicalMatching	leonmap	cosine=0.853514
icd10:D37.5	Rectum	skos:exactMatch	mesh:D012007	Rectum	1.0	semapv:LexicalMatching	leonmap	cosine=0.849566
icd10:D28.0	Vulva	skos:exactMatch	mesh:D014844	Vulva	1.0	semapv:LexicalMatching	leonmap	cosine=0.844891
icd10:C17.3	Meckel diverticulum	skos:exactMatch	mesh:D008467	Meckel Diverticulum	1.0	semapv:LexicalMatching	leonmap	cosine=0.839574
icd10:D02.1	Trachea	skos:exactMatch	mesh:D014132	Trachea	1.0	semapv:LexicalMatching	leonmap	cosine=0.832405
icd10:T39.0	Salicylates	skos:exactMatch	mesh:D012459	Salicylates	1.0	semapv:LexicalMatching	leonmap	cosine=0.827976
icd10:D13.5	Extrahepatic bile ducts	skos:exactMatch	mesh:D017734	Bile Ducts, Extrahepatic	1.0	semapv:LexicalMatching	leonmap	cosine=0.826950
icd10:I34.1	Mitral (valve) prolapse	skos:exactMatch	mesh:D008945	Mitral Valve Prolapse	1.0	semapv:LexicalMatching	leonmap	cosine=0.826638
icd10:M12.2	Villonodular synovitis (pigmented)	skos:exactMatch	mesh:D013586	Synovitis, Pigmented Villonodular	1.0	semapv:LexicalMatching	leonmap	cosine=0.826559
icd10:D30.2	Ureter	skos:exactMatch	mesh:D014513	Ureter	1.0	semapv:LexicalMatching	leonmap	cosine=0.822862
icd10:C63.2	Scrotum	skos:exactMatch	mesh:D012611	Scrotum	1.0	semapv:LexicalMatching	leonmap	cosine=0.818362
icd10:T36.6	Rifamycins	skos:exactMatch	mesh:D012294	Rifamycins	1.0	semapv:LexicalMatching	leonmap	cosine=0.817072
icd10:C75.4	Carotid body	skos:exactMatch	mesh:D002344	Carotid Body	1.0	semapv:LexicalMatching	leonmap	cosine=0.816021
icd10:C17.0	Duodenum	skos:exactMatch	mesh:D004386	Duodenum	1.0	semapv:LexicalMatching	leonmap	cosine=0.812927
icd10:F41.1	Generalized anxiety disorder	skos:exactMatch	mesh:D000098647	Generalized Anxiety Disorder	1.0	semapv:LexicalMatching	leonmap	cosine=0.810534
icd10:D15.1	Heart	skos:exactMatch	mesh:D006321	Heart	1.0	semapv:LexicalMatching	leonmap	cosine=0.810324
icd10:C75.3	Pineal gland	skos:exactMatch	mesh:D010870	Pineal Gland	1.0	semapv:LexicalMatching	leonmap	cosine=0.810150
icd10:T46.1	Calcium-channel blockers	skos:exactMatch	mesh:D002121	Calcium Channel Blockers	1.0	semapv:LexicalMatching	leonmap	cosine=0.808493
icd10:D15.2	Mediastinum	skos:exactMatch	mesh:D008482	Mediastinum	1.0	semapv:LexicalMatching	leonmap	cosine=0.807671
icd10:A42.2	Cervicofacial actinomycosis	skos:exactMatch	mesh:D000197	Actinomycosis, Cervicofacial	1.0	semapv:LexicalMatching	leonmap	cosine=0.807660
icd10:T37.0	Sulfonamides	skos:exactMatch	mesh:D013449	Sulfonamides	1.0	semapv:LexicalMatching	leonmap	cosine=0.803904
icd10:D29.2	Testis	skos:exactMatch	mesh:D013737	Testis	1.0	semapv:LexicalMatching	leonmap	cosine=0.803149
icd10:D28.1	Vagina	skos:exactMatch	mesh:D014621	Vagina	1.0	semapv:LexicalMatching	leonmap	cosine=0.799974
icd10:H40-H42	Glaucoma	skos:exactMatch	mesh:D005901	Glaucoma	1.0	semapv:LexicalMatching	leonmap	cosine=0.794729
icd10:T49.1	Antipruritics	skos:exactMatch	mesh:D000982	Antipruritics	1.0	semapv:LexicalMatching	leonmap	cosine=0.792378
icd10:C63.0	Epididymis	skos:exactMatch	mesh:D004822	Epididymis	1.0	semapv:LexicalMatching	leonmap	cosine=0.790994
icd10:C38.4	Pleura	skos:exactMatch	mesh:D010994	Pleura	1.0	semapv:LexicalMatching	leonmap	cosine=0.790812
icd10:D58.0	Hereditary spherocytosis	skos:exactMatch	mesh:D013103	Spherocytosis, Hereditary	1.0	semapv:LexicalMatching	leonmap	cosine=0.789861
icd10:D20.1	Peritoneum	skos:exactMatch	mesh:D010537	Peritoneum	1.0	semapv:LexicalMatching	leonmap	cosine=0.784532
icd10:T36.0	Penicillins	skos:exactMatch	mesh:D010406	Penicillins	1.0	semapv:LexicalMatching	leonmap	cosine=0.781996
icd10:D30.0	Kidney	skos:exactMatch	mesh:D007668	Kidney	1.0	semapv:LexicalMatching	leonmap	cosine=0.780540
icd10:C69.0	Conjunctiva	skos:exactMatch	mesh:D003228	Conjunctiva	1.0	semapv:LexicalMatching	leonmap	cosine=0.778770
icd10:I35.1	Aortic (valve) insufficiency	skos:exactMatch	mesh:D001022	Aortic Valve Insufficiency	1.0	semapv:LexicalMatching	leonmap	cosine=0.774237
icd10:G21.0	Malignant neuroleptic syndrome	skos:exactMatch	mesh:D009459	Neuroleptic Malignant Syndrome	1.0	semapv:LexicalMatching	leonmap	cosine=0.772151
icd10:C54.1	Endometrium	skos:exactMatch	mesh:D004717	Endometrium	1.0	semapv:LexicalMatching	leonmap	cosine=0.769983
icd10:C69.4	Ciliary body	skos:exactMatch	mesh:D002924	Ciliary Body	1.0	semapv:LexicalMatching	leonmap	cosine=0.768545
icd10:C69.1	Cornea	skos:exactMatch	mesh:D003315	Cornea	1.0	semapv:LexicalMatching	leonmap	cosine=0.767936
